similarity(%)	image name	time and date
0 %	madam.jpg	23/03/2019 21:41:33
similarity(%)	image name	time and date
3 %	life.JPEG	23/03/2019 21:42:04
11 %	memory.jpg	23/03/2019 21:42:04
1 %	likeblack.jpg	23/03/2019 21:42:04
1 %	arabic.jpg	23/03/2019 21:42:04
1 %	butterfly.jpg	23/03/2019 21:42:04
0 %	rose.jpg	23/03/2019 21:42:04
0 %	the_100.jpg	23/03/2019 21:42:04
0 %	malcomx.jpg	23/03/2019 21:42:04
0 %	prayer.jpg	23/03/2019 21:42:04
0 %	unnamed.jpg	23/03/2019 21:42:04
0 %	sherlock.jpg	23/03/2019 21:42:04
0 %	madam.jpg	23/03/2019 21:42:04
0 %	condame.jpg	23/03/2019 21:42:04
0 %	unnamed-1.jpg	23/03/2019 21:42:04
similarity(%)	image name	time and date
41 %	life.JPEG	23/03/2019 21:42:52
1 %	arabic.jpg	23/03/2019 21:42:52
0 %	likeblack.jpg	23/03/2019 21:42:52
0 %	rose.jpg	23/03/2019 21:42:52
0 %	the_100.jpg	23/03/2019 21:42:52
0 %	butterfly.jpg	23/03/2019 21:42:52
0 %	malcomx.jpg	23/03/2019 21:42:52
0 %	prayer.jpg	23/03/2019 21:42:52
0 %	unnamed.jpg	23/03/2019 21:42:52
0 %	sherlock.jpg	23/03/2019 21:42:52
0 %	madam.jpg	23/03/2019 21:42:52
0 %	memory.jpg	23/03/2019 21:42:52
0 %	condame.jpg	23/03/2019 21:42:52
0 %	unnamed-1.jpg	23/03/2019 21:42:52
similarity(%)	image name	time and date
36 %	life.JPEG	23/03/2019 21:43:27
0 %	likeblack.jpg	23/03/2019 21:43:27
0 %	rose.jpg	23/03/2019 21:43:27
0 %	arabic.jpg	23/03/2019 21:43:27
0 %	the_100.jpg	23/03/2019 21:43:27
0 %	butterfly.jpg	23/03/2019 21:43:27
0 %	malcomx.jpg	23/03/2019 21:43:27
0 %	prayer.jpg	23/03/2019 21:43:27
0 %	unnamed.jpg	23/03/2019 21:43:27
0 %	sherlock.jpg	23/03/2019 21:43:27
0 %	madam.jpg	23/03/2019 21:43:27
0 %	memory.jpg	23/03/2019 21:43:27
0 %	condame.jpg	23/03/2019 21:43:27
0 %	unnamed-1.jpg	23/03/2019 21:43:27
similarity(%)	image name	time and date
30 %	life.JPEG	23/03/2019 21:44:06
1 %	arabic.jpg	23/03/2019 21:44:06
1 %	butterfly.jpg	23/03/2019 21:44:06
0 %	likeblack.jpg	23/03/2019 21:44:06
0 %	rose.jpg	23/03/2019 21:44:06
0 %	the_100.jpg	23/03/2019 21:44:06
0 %	malcomx.jpg	23/03/2019 21:44:06
0 %	prayer.jpg	23/03/2019 21:44:06
0 %	unnamed.jpg	23/03/2019 21:44:06
